Features,Modell,F1 (Training),F1 (Test)
rms,kNN,0.7342,0.5
rms,Log. Regression,0.0,0.0
rms,Decision Tree,0.8205,0.5217
"mean, std",kNN,0.6377,0.5714
"mean, std",Log. Regression,0.0,0.0
"mean, std",Decision Tree,0.8354,0.64
"min, max, range",kNN,0.2857,0.0
"min, max, range",Log. Regression,0.0,0.0
"min, max, range",Decision Tree,0.549,0.2353
"rms, mean, std",kNN,0.6765,0.5455
"rms, mean, std",Log. Regression,0.0,0.0
"rms, mean, std",Decision Tree,0.8354,0.5833
"rms, mean, std, min, max",kNN,0.4255,0.1429
"rms, mean, std, min, max",Log. Regression,0.0,0.0
"rms, mean, std, min, max",Decision Tree,0.8438,0.2857
alle statistischen Features,kNN,0.3333,0.3333
alle statistischen Features,Log. Regression,0.0,0.0
alle statistischen Features,Decision Tree,0.8136,0.1667
